Time,Open,High,Low,Close,Buys,Sells,Buy_Amount,Sell_Amount,Bid,Ask
"2024/09/09, 06:49",18637.5,18653.25,18637.5,18643.25,2764,2939,1824.0,2060.0,528.0,365.0
"2024/09/09, 06:50",18643.0,18679.0,18639.0,18672.5,4513,6425,3087.0,4726.0,434.0,512.0
"2024/09/09, 06:51",18672.25,18678.5,18660.75,18675.0,3618,3870,2438.0,2649.0,366.0,576.0
"2024/09/09, 06:52",18675.0,18687.75,18670.25,18671.5,4179,4638,2792.0,3190.0,440.0,371.0
"2024/09/09, 06:53",18672.0,18672.0,18656.25,18659.75,3846,3053,2610.0,1989.0,461.0,401.0
"2024/09/09, 06:54",18659.75,18666.0,18647.25,18663.75,3247,2976,2197.0,2029.0,368.0,473.0
"2024/09/09, 06:55",18663.0,18671.5,18659.25,18662.5,2909,3075,1892.0,2086.0,393.0,434.0
"2024/09/09, 06:56",18662.75,18672.0,18659.5,18665.5,1644,1762,1079.0,1156.0,418.0,442.0
"2024/09/09, 06:57",18665.5,18677.0,18661.25,18677.0,2265,2736,1478.0,1914.0,380.0,530.0
"2024/09/09, 06:58",18677.0,18695.75,18674.0,18694.25,3779,4845,2564.0,3540.0,404.0,861.0
"2024/09/09, 06:59",18694.25,18697.5,18685.25,18692.5,2880,2935,1897.0,2110.0,363.0,687.0
"2024/09/09, 07:00",18692.0,18692.75,18672.0,18679.25,3207,2725,2382.0,1836.0,456.0,408.0
"2024/09/09, 07:01",18678.75,18683.0,18673.75,18676.25,2113,2225,1457.0,1454.0,508.0,381.0
"2024/09/09, 07:02",18676.0,18688.5,18672.75,18684.0,1579,1991,1073.0,1319.0,404.0,488.0
"2024/09/09, 07:03",18684.0,18692.5,18681.5,18690.25,1831,2229,1185.0,1581.0,400.0,850.0
"2024/09/09, 07:04",18690.25,18692.0,18670.5,18675.5,3561,2443,2516.0,1624.0,482.0,401.0
"2024/09/09, 07:05",18675.0,18675.75,18661.75,18669.5,3289,2490,2237.0,1660.0,497.0,446.0
"2024/09/09, 07:06",18669.0,18678.75,18661.0,18664.25,2943,2542,2024.0,1699.0,561.0,346.0
"2024/09/09, 07:07",18664.25,18667.0,18651.5,18667.0,3939,3325,2663.0,2220.0,381.0,421.0
"2024/09/09, 07:08",18666.75,18683.5,18665.75,18675.25,2732,3909,1800.0,2811.0,415.0,434.0
"2024/09/09, 07:09",18675.5,18683.0,18673.75,18681.25,1734,1882,1169.0,1285.0,423.0,515.0
"2024/09/09, 07:10",18681.0,18715.5,18679.5,18712.75,5456,8226,3743.0,6230.0,542.0,584.0
"2024/09/09, 07:11",18713.25,18720.5,18710.5,18714.25,3715,3429,2554.0,2411.0,574.0,509.0
"2024/09/09, 07:12",18713.5,18714.5,18693.25,18703.5,3984,3078,2741.0,1982.0,416.0,439.0
"2024/09/09, 07:13",18703.0,18704.0,18692.25,18702.25,1817,1732,1223.0,1109.0,424.0,476.0
"2024/09/09, 07:14",18702.25,18705.5,18696.0,18698.5,1864,1851,1271.0,1252.0,516.0,466.0
"2024/09/09, 07:15",18698.5,18701.25,18689.25,18696.0,2296,1842,1633.0,1296.0,493.0,497.0
"2024/09/09, 07:16",18695.0,18701.0,18691.25,18693.25,1583,1476,1028.0,946.0,525.0,395.0
"2024/09/09, 07:17",18693.75,18696.5,18686.0,18689.0,2251,2005,1594.0,1316.0,505.0,416.0
"2024/09/09, 07:18",18688.75,18692.0,18647.25,18648.75,6644,4000,4988.0,2555.0,465.0,420.0
"2024/09/09, 07:19",18648.25,18658.0,18637.5,18650.5,5652,5468,3907.0,3735.0,586.0,487.0
"2024/09/09, 07:20",18651.5,18656.25,18639.75,18651.0,3677,3285,2566.0,2191.0,378.0,493.0
"2024/09/09, 07:21",18651.25,18657.0,18625.5,18639.25,6429,4950,4439.0,3535.0,395.0,457.0
"2024/09/09, 07:22",18639.25,18652.0,18636.0,18649.25,2711,3099,1831.0,2140.0,427.0,490.0
"2024/09/09, 07:23",18649.25,18652.5,18636.75,18642.0,2628,2401,1816.0,1686.0,459.0,425.0
"2024/09/09, 07:24",18642.5,18646.5,18621.25,18637.5,4416,3561,3205.0,2360.0,471.0,395.0
"2024/09/09, 07:25",18637.75,18640.75,18623.25,18626.0,3515,2726,2501.0,1855.0,510.0,491.0
"2024/09/09, 07:26",18625.75,18638.0,18623.0,18627.5,2351,2418,1599.0,1613.0,530.0,447.0
"2024/09/09, 07:27",18627.5,18629.25,18614.5,18620.0,3738,3139,2684.0,2108.0,493.0,492.0
"2024/09/09, 07:28",18620.25,18631.5,18612.75,18622.5,2763,3303,1937.0,2279.0,401.0,480.0
"2024/09/09, 07:29",18622.25,18630.0,18618.75,18622.0,2389,2203,1556.0,1463.0,479.0,460.0
"2024/09/09, 07:30",18622.0,18623.0,18581.5,18586.0,9954,7137,7578.0,4889.0,517.0,536.0
"2024/09/09, 07:31",18586.0,18596.5,18583.0,18585.75,3610,3790,2564.0,2575.0,540.0,457.0
"2024/09/09, 07:32",18585.75,18598.5,18584.75,18588.5,2836,2776,1903.0,1881.0,532.0,416.0
"2024/09/09, 07:33",18589.25,18594.5,18566.0,18571.75,5440,4106,4018.0,2704.0,503.0,477.0
"2024/09/09, 07:34",18572.0,18589.0,18570.25,18582.5,2879,3504,1936.0,2493.0,427.0,503.0
"2024/09/09, 07:35",18582.5,18594.25,18577.75,18578.25,3201,3143,2287.0,2121.0,481.0,483.0
"2024/09/09, 07:36",18579.0,18584.5,18570.25,18583.75,2732,2431,1877.0,1613.0,440.0,560.0
"2024/09/09, 07:37",18584.0,18584.5,18563.25,18568.25,3447,2253,2402.0,1515.0,544.0,470.0
"2024/09/09, 07:38",18568.25,18572.5,18550.5,18551.5,5097,4360,3624.0,2914.0,669.0,497.0
"2024/09/09, 07:39",18551.0,18561.5,18548.5,18555.75,3346,3503,2533.0,2385.0,534.0,571.0
"2024/09/09, 07:40",18555.75,18565.25,18555.25,18562.0,2244,2600,1526.0,1839.0,430.0,555.0
"2024/09/09, 07:41",18561.75,18566.75,18553.5,18558.5,1780,1777,1204.0,1175.0,526.0,465.0
"2024/09/09, 07:42",18558.5,18574.0,18556.25,18566.25,2233,3322,1550.0,2323.0,449.0,466.0
"2024/09/09, 07:43",18566.25,18567.0,18554.5,18562.0,2476,2161,1712.0,1483.0,482.0,408.0
"2024/09/09, 07:44",18562.75,18569.0,18543.75,18549.5,3484,2446,2497.0,1714.0,576.0,478.0
"2024/09/09, 07:45",18549.5,18557.0,18543.0,18553.75,2570,2753,1719.0,1928.0,465.0,528.0
"2024/09/09, 07:46",18553.25,18561.25,18549.75,18552.5,1606,2058,1095.0,1479.0,509.0,441.0
"2024/09/09, 07:47",18552.25,18552.75,18537.75,18540.0,3329,2029,2438.0,1402.0,719.0,610.0
"2024/09/09, 07:48",18540.0,18554.25,18531.5,18552.5,3922,4301,2813.0,3227.0,466.0,488.0
"2024/09/09, 07:49",18552.5,18562.5,18547.75,18559.25,2317,3265,1575.0,2236.0,431.0,420.0
"2024/09/09, 07:50",18559.0,18566.75,18556.25,18560.75,2212,3172,1473.0,2189.0,476.0,443.0
"2024/09/09, 07:51",18560.75,18576.75,18557.75,18568.25,3275,4114,2260.0,2946.0,436.0,506.0
"2024/09/09, 07:52",18568.0,18568.75,18551.0,18554.75,2884,2386,2004.0,1619.0,481.0,411.0
"2024/09/09, 07:53",18555.25,18564.5,18554.0,18561.75,1481,1774,974.0,1270.0,455.0,447.0
"2024/09/09, 07:54",18561.75,18571.0,18557.75,18570.0,1661,1911,1084.0,1291.0,409.0,537.0
"2024/09/09, 07:55",18569.75,18580.5,18569.0,18572.0,2548,3452,1667.0,2401.0,492.0,460.0
"2024/09/09, 07:56",18571.75,18574.5,18557.0,18559.25,2574,1777,1792.0,1153.0,540.0,408.0
"2024/09/09, 07:57",18559.25,18560.5,18553.25,18555.5,1994,1868,1406.0,1250.0,496.0,431.0
"2024/09/09, 07:58",18556.0,18556.0,18525.75,18532.5,6634,4078,4787.0,2693.0,528.0,502.0
"2024/09/09, 07:59",18532.5,18536.25,18514.25,18515.75,5131,3544,3894.0,2470.0,455.0,518.0
"2024/09/09, 08:00",18515.25,18531.0,18505.75,18525.75,4205,4310,3048.0,3089.0,485.0,461.0
"2024/09/09, 08:01",18525.25,18533.0,18521.75,18522.25,2074,2104,1386.0,1406.0,467.0,414.0
"2024/09/09, 08:02",18522.0,18538.5,18522.0,18538.5,1879,2749,1279.0,1924.0,466.0,445.0
"2024/09/09, 08:03",18538.5,18550.75,18535.0,18537.25,3457,3922,2380.0,2942.0,464.0,430.0
"2024/09/09, 08:04",18537.25,18541.25,18532.0,18538.5,2086,1942,1407.0,1298.0,441.0,434.0
"2024/09/09, 08:05",18538.5,18540.75,18526.5,18529.75,2280,1858,1610.0,1292.0,504.0,431.0
"2024/09/09, 08:06",18529.5,18535.75,18525.25,18533.75,1835,1966,1281.0,1332.0,472.0,398.0
"2024/09/09, 08:07",18534.25,18554.25,18531.75,18550.0,2433,3771,1656.0,2731.0,420.0,550.0
"2024/09/09, 08:08",18550.0,18555.5,18544.25,18544.25,1634,1810,1072.0,1241.0,446.0,419.0
"2024/09/09, 08:09",18544.5,18551.75,18535.5,18536.0,2042,1410,1417.0,907.0,442.0,403.0
"2024/09/09, 08:10",18536.25,18537.5,18517.0,18521.25,4500,2961,3347.0,1981.0,448.0,530.0
"2024/09/09, 08:11",18521.25,18523.75,18510.5,18518.0,2207,2008,1555.0,1303.0,457.0,486.0
"2024/09/09, 08:12",18518.0,18524.0,18508.5,18517.25,1972,2020,1340.0,1354.0,451.0,477.0
"2024/09/09, 08:13",18517.5,18519.25,18497.25,18503.5,4336,2923,3347.0,2032.0,527.0,476.0
"2024/09/09, 08:14",18503.5,18515.75,18501.5,18509.0,1725,2056,1242.0,1571.0,512.0,469.0
"2024/09/09, 08:15",18508.25,18512.0,18499.75,18508.5,2063,1662,1462.0,1111.0,480.0,439.0
"2024/09/09, 08:16",18508.5,18515.5,18504.0,18507.75,1539,1624,998.0,1110.0,460.0,439.0
"2024/09/09, 08:17",18507.75,18513.25,18505.5,18507.75,828,988,558.0,669.0,482.0,472.0
"2024/09/09, 08:18",18507.75,18516.5,18502.5,18515.0,1265,1538,843.0,1068.0,454.0,489.0
"2024/09/09, 08:19",18515.0,18523.0,18513.25,18515.75,1514,1934,1038.0,1325.0,458.0,497.0
"2024/09/09, 08:20",18516.0,18518.0,18509.25,18510.5,1533,1195,1045.0,783.0,468.0,457.0
"2024/09/09, 08:21",18510.5,18520.5,18506.75,18517.5,1208,1439,819.0,981.0,426.0,600.0
"2024/09/09, 08:22",18517.5,18524.75,18513.75,18523.75,1068,1678,701.0,1181.0,434.0,684.0
"2024/09/09, 08:23",18523.75,18535.75,18523.0,18532.5,2052,2890,1367.0,2140.0,485.0,509.0
"2024/09/09, 08:24",18532.0,18538.5,18529.0,18535.25,1349,1545,945.0,1158.0,452.0,444.0
"2024/09/09, 08:25",18536.0,18542.25,18531.0,18531.5,1693,2080,1187.0,1412.0,501.0,453.0
"2024/09/09, 08:26",18531.75,18543.75,18529.25,18541.75,1382,1758,952.0,1228.0,457.0,561.0
"2024/09/09, 08:27",18541.75,18546.5,18538.0,18538.75,1714,1835,1195.0,1383.0,468.0,521.0
"2024/09/09, 08:28",18539.0,18559.75,18538.25,18558.25,2079,3308,1418.0,2442.0,491.0,452.0
